,Model,Num_hidden_layers,Layer_widths,Train_Acc,Val_Acc,Train_Loss,Val_Loss,Early_Stopping_Epoch
0,TresLocos_1000,3,512;512;256,0.9720419370943585,0.9520958083832335,0.005945950420770963,0.017309048053196923,77.0
1,Triads_1000,3,512;512;512,0.9610584123814279,0.8922155688622755,0.00778747431032315,0.02471669491179689,31.0
2,Three_Musketers_1000,3,256;256;256,0.9910134797803295,0.9341317365269461,0.0009044919939362037,0.021263985138037008,100.0
3,threes_company_1000,3,128;128;128,0.9435846230654019,0.936127744510978,0.0061558528844670715,0.008075050459412519,22.0
4,trisomy21_1000,3,512;256;128,0.9815277084373439,0.9580838323353293,0.001744473436017078,0.014197885057890785,62.0
5,I_Am_Peaches_1000,3,256;64;16,0.927109335996006,0.93812375249501,0.007391048960770837,0.006227525839667596,57.0
6,Let_It_Be_1000,3,512;128;32,0.9610584123814279,0.9481037924151696,0.0037786330281130514,0.008536329206651793,38.0
7,Winter_Is_Coming_1000,3,512;256;256,0.9750374438342486,0.9520958083832335,0.005475093643132205,0.010673288025422962,48.0
8,Banana_Split_1000,3,256;256;64,0.9505741387918123,0.9520958083832335,0.00434537657643043,0.007563672547122676,30.0
9,dosEquis_1000,2,512;256,0.9435846230654019,0.9540918163672655,0.0060930645250944545,0.010873060740396649,13.0
10,Twins_1000,2,512;128,0.982526210683974,0.9520958083832335,0.0018177921767520923,0.012940575180950755,38.0
11,paul_1000,1,512,0.9980029955067399,0.9580838323353293,0.00020389019364523003,0.07011629654396768,100.0
12,john_1000,1,256,0.9940089865202196,0.9461077844311377,0.0008043740889181473,0.028273834862249964,82.0
13,george_1000,1,128,0.9950074887668497,0.9580838323353293,0.0004185238659934,0.020172517741110153,99.0
14,PLO_1000,4,256;256;256;256,0.9775336994508238,0.9540918163672655,0.0024238820256329645,0.02597028901986406,100.0
15,Night_At_The_Museum_1000,4,512;256;256;128,0.981028457314029,0.9421157684630739,0.0023063615797235407,0.014806977486211858,100.0
16,Get_Gymwrecked_1000,4,512;256;128;64,0.9705441837244134,0.9401197604790419,0.007115929604299214,0.01294913363016532,70.0
17,The_Wrath_Of_PANDAS_1000,4,512;512;128;128,0.9475786320519222,0.9441117764471058,0.0050904451731333894,0.006186684195747871,25.0
18,Hey_Kid_You_Suck_1000,4,256;256;64;64,0.945082376435347,0.9421157684630739,0.005053978112744306,0.009876427565982004,75.0
19,Here_Comes_Chuckie_Chan_Martial_Arts_Master_Of_Reptar_Land_1000,4,512;128;32;8,0.8991512730903645,0.9181636726546906,0.008744992602186922,0.011988650843828262,100.0
20,The_Bearded_Bandit_Just_Zoomed_1000,4,512;512;256;64,0.9845232151772342,0.9500998003992016,0.0017453446601625835,0.016540754820683044,100.0
21,how_many_rings_you_got_kobe_1000,5,512;256;256;128;32,0.9375936095856215,0.9241516966067864,0.0074169959424735905,0.006080039886538378,56.0
22,Glaucoma_1000,5,512;512;512;512;512,0.9775336994508238,0.9560878243512974,0.0018833380826351132,0.024261833308915237,100.0
23,Degen_Gambler_1000,5,256;256;256;256;256,0.9021467798302546,0.9181636726546906,0.008706125394030624,0.009702443823723974,23.0
24,Cinco_De_Mayo_1000,5,512;256;128;64;32,0.964053919121318,0.9640718562874252,0.0036365587919433445,0.010881701086512107,100.0
25,Heavily_Caffeinated_1000,5,256;128;64;32;16,0.9415876185721418,0.936127744510978,0.008647372359358783,0.006619064040675373,74.0
26,Who_Puts_Fries_In_A_Burrito_1000,5,256;256;128;128;32,0.9530703944083874,0.93812375249501,0.0048851948408144925,0.008819551123473459,57.0
27,Going_Super_Sayan_1000,5,512;512;128;64;16,0.9625561657513729,0.9401197604790419,0.00629389053559339,0.018050901357552964,100.0
